tasmax_day_I35txdetrp1-DeltaSD-A28L01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A28L01K00 rcp85 r1i1p1 relative to 1981-2099 and trend MIROC5 rcp85 r1i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A28P01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A28P01K00 rcp85 r1i1p1 relative to 1981-2099 and trend MIROC5 rcp85 r1i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A32D01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A32D01K00 rcp26 r1i1p1 relative to 1981-2099 and trend MPI-ESM-LR rcp26 r1i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A32L01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A32L01K00 rcp26 r1i1p1 relative to 1981-2099 and trend MPI-ESM-LR rcp26 r1i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A32P01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A32P01K00 rcp26 r1i1p1 relative to 1981-2099 and trend MPI-ESM-LR rcp26 r1i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A34D01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A34D01K00 rcp45 r1i1p1 relative to 1981-2099 and trend MPI-ESM-LR rcp45 r1i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A34L01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A34L01K00 rcp45 r1i1p1 relative to 1981-2099 and trend MPI-ESM-LR rcp45 r1i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A34P01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A34P01K00 rcp45 r1i1p1 relative to 1981-2099 and trend MPI-ESM-LR rcp45 r1i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A38D01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A38D01K00 rcp85 r1i1p1 relative to 1981-2099 and trend MPI-ESM-LR rcp85 r1i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A38L01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A38L01K00 rcp85 r1i1p1 relative to 1981-2099 and trend MPI-ESM-LR rcp85 r1i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-DeltaSD-A38P01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc	Sum of residuals I35txdetrp1-DeltaSD-A38P01K00 rcp85 r1i1p1 relative to 1981-2099 and trend MPI-ESM-LR rcp85 r1i1p1 smoothed 31 days
tasmax_day_I35txdetrp1-PARM-B10D01K00_historical_r6i1p1_I35Land_19810101-20051231.nc	Sum of residuals I35txdetrp1-PARM-B10D01K00 historical r6i1p1 relative to 1981-2099 and trend CCSM4 historical r6i1p1 smoothed 31 days
